<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CNYRUBF;5;20260105;085500;11.242;11.242;11.242;11.242;821
CNYRUBF;5;20260105;090000;11.243;11.28;11.242;11.27;14125
CNYRUBF;5;20260105;090500;11.273;11.273;11.255;11.268;8145
CNYRUBF;5;20260105;091000;11.268;11.268;11.258;11.265;3218
CNYRUBF;5;20260105;091500;11.265;11.272;11.263;11.266;2017
CNYRUBF;5;20260105;092000;11.267;11.269;11.261;11.267;3408
CNYRUBF;5;20260105;092500;11.267;11.271;11.262;11.271;7584
CNYRUBF;5;20260105;093000;11.268;11.271;11.265;11.27;849
CNYRUBF;5;20260105;093500;11.271;11.28;11.271;11.279;5548
CNYRUBF;5;20260105;094000;11.279;11.285;11.274;11.281;6306
CNYRUBF;5;20260105;094500;11.279;11.29;11.278;11.279;6823
CNYRUBF;5;20260105;095000;11.282;11.282;11.271;11.276;1439
CNYRUBF;5;20260105;095500;11.276;11.278;11.272;11.278;7229
CNYRUBF;5;20260105;100000;11.278;11.293;11.265;11.29;27166
CNYRUBF;5;20260105;100500;11.29;11.292;11.279;11.29;9564
CNYRUBF;5;20260105;101000;11.291;11.309;11.286;11.305;28427
CNYRUBF;5;20260105;101500;11.305;11.335;11.301;11.335;61087
CNYRUBF;5;20260105;102000;11.333;11.354;11.326;11.349;40412
CNYRUBF;5;20260105;102500;11.35;11.353;11.336;11.338;26467
CNYRUBF;5;20260105;103000;11.338;11.365;11.338;11.35;35109
CNYRUBF;5;20260105;103500;11.351;11.357;11.348;11.356;17706
CNYRUBF;5;20260105;104000;11.355;11.369;11.353;11.361;21568
CNYRUBF;5;20260105;104500;11.361;11.391;11.361;11.39;57250
CNYRUBF;5;20260105;105000;11.391;11.401;11.387;11.4;56504
CNYRUBF;5;20260105;105500;11.399;11.425;11.397;11.424;72110
CNYRUBF;5;20260105;110000;11.425;11.427;11.384;11.387;55061
CNYRUBF;5;20260105;110500;11.387;11.401;11.386;11.397;14399
CNYRUBF;5;20260105;111000;11.398;11.408;11.397;11.403;12638
CNYRUBF;5;20260105;111500;11.402;11.407;11.395;11.405;6449
CNYRUBF;5;20260105;112000;11.407;11.419;11.404;11.414;13136
CNYRUBF;5;20260105;112500;11.413;11.413;11.404;11.409;4327
CNYRUBF;5;20260105;113000;11.407;11.41;11.404;11.407;3601
CNYRUBF;5;20260105;113500;11.408;11.408;11.399;11.403;7061
CNYRUBF;5;20260105;114000;11.403;11.403;11.397;11.399;8625
CNYRUBF;5;20260105;114500;11.399;11.403;11.397;11.403;4365
CNYRUBF;5;20260105;115000;11.403;11.408;11.403;11.408;3846
CNYRUBF;5;20260105;115500;11.408;11.411;11.406;11.406;3013
CNYRUBF;5;20260105;120000;11.406;11.418;11.402;11.411;13451
CNYRUBF;5;20260105;120500;11.411;11.414;11.403;11.412;12697
CNYRUBF;5;20260105;121000;11.412;11.42;11.41;11.418;15950
CNYRUBF;5;20260105;121500;11.419;11.43;11.419;11.429;36272
CNYRUBF;5;20260105;122000;11.43;11.44;11.427;11.433;34108
CNYRUBF;5;20260105;122500;11.433;11.437;11.426;11.428;5264
CNYRUBF;5;20260105;123000;11.428;11.43;11.426;11.428;1254
CNYRUBF;5;20260105;123500;11.428;11.429;11.422;11.424;5549
CNYRUBF;5;20260105;124000;11.424;11.427;11.423;11.425;2477
CNYRUBF;5;20260105;124500;11.425;11.437;11.425;11.427;17261
CNYRUBF;5;20260105;125000;11.428;11.429;11.395;11.408;40717
CNYRUBF;5;20260105;125500;11.407;11.407;11.374;11.382;35349
CNYRUBF;5;20260105;130000;11.382;11.391;11.372;11.387;10168
CNYRUBF;5;20260105;130500;11.387;11.391;11.379;11.386;8888
CNYRUBF;5;20260105;131000;11.386;11.389;11.383;11.385;5089
CNYRUBF;5;20260105;131500;11.385;11.409;11.385;11.403;8526
CNYRUBF;5;20260105;132000;11.404;11.407;11.399;11.406;5614
CNYRUBF;5;20260105;132500;11.407;11.408;11.405;11.405;2246
CNYRUBF;5;20260105;133000;11.408;11.409;11.406;11.407;1080
CNYRUBF;5;20260105;133500;11.408;11.409;11.4;11.409;3923
CNYRUBF;5;20260105;134000;11.408;11.408;11.398;11.402;8069
CNYRUBF;5;20260105;134500;11.402;11.404;11.398;11.402;1650
CNYRUBF;5;20260105;135000;11.402;11.407;11.399;11.407;1641
CNYRUBF;5;20260105;135500;11.407;11.409;11.399;11.399;7307
CNYRUBF;5;20260105;140500;11.4;11.41;11.4;11.409;5375
CNYRUBF;5;20260105;141000;11.41;11.41;11.392;11.397;6189
CNYRUBF;5;20260105;141500;11.397;11.399;11.388;11.392;3530
CNYRUBF;5;20260105;142000;11.393;11.399;11.392;11.397;1578
