<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CNYRUBF;D;20230103;000000;9.91;10.18;9.91;10.16;24791
CNYRUBF;D;20230104;000000;10.17;10.32;10.14;10.29;20113
CNYRUBF;D;20230105;000000;10.27;10.44;10.21;10.42;33466
CNYRUBF;D;20230106;000000;10.42;10.49;10.37;10.43;26218
CNYRUBF;D;20230109;000000;10.46;10.52;10.16;10.21;61523
CNYRUBF;D;20230110;000000;10.22;10.31;10.13;10.25;35768
CNYRUBF;D;20230111;000000;10.27;10.29;10.02;10.06;55834
CNYRUBF;D;20230112;000000;10.05;10.06;9.95;10.01;34762
CNYRUBF;D;20230113;000000;10.02;10.29;9.99;10.26;41864
CNYRUBF;D;20230116;000000;10.26;10.26;10.08;10.16;47749
CNYRUBF;D;20230117;000000;10.16;10.24;10.09;10.22;27832
CNYRUBF;D;20230118;000000;10.22;10.22;10.15;10.21;30986
CNYRUBF;D;20230119;000000;10.2;10.2;10.11;10.14;16630
CNYRUBF;D;20230120;000000;10.12;10.15;10.1;10.13;12660
CNYRUBF;D;20230123;000000;10.12;10.22;10.08;10.18;20831
CNYRUBF;D;20230124;000000;10.17;10.17;10.11;10.15;13690
CNYRUBF;D;20230125;000000;10.15;10.24;10.14;10.23;62412
CNYRUBF;D;20230126;000000;10.23;10.31;10.21;10.28;55488
CNYRUBF;D;20230127;000000;10.27;10.29;10.24;10.26;16084
CNYRUBF;D;20230130;000000;10.27;10.49;10.27;10.48;51422
CNYRUBF;D;20230131;000000;10.48;10.48;10.32;10.33;36269
CNYRUBF;D;20230201;000000;10.33;10.45;10.33;10.42;12985
CNYRUBF;D;20230202;000000;10.41;10.5;10.38;10.44;19497
CNYRUBF;D;20230203;000000;10.44;10.46;10.32;10.38;20088
CNYRUBF;D;20230206;000000;10.39;10.46;10.36;10.43;19233
CNYRUBF;D;20230207;000000;10.44;10.49;10.42;10.44;14464
CNYRUBF;D;20230208;000000;10.45;10.73;10.45;10.7;43436
CNYRUBF;D;20230209;000000;10.7;10.8;10.7;10.79;34146
