<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CNYRUBF;60;20250502;090000;11.239;11.266;11.224;11.255;78707
CNYRUBF;60;20250502;100000;11.256;11.429;11.256;11.416;649792
CNYRUBF;60;20250502;110000;11.419;11.46;11.38;11.394;304055
CNYRUBF;60;20250502;120000;11.392;11.445;11.392;11.438;79708
CNYRUBF;60;20250502;130000;11.439;11.45;11.415;11.432;94902
CNYRUBF;60;20250502;140000;11.431;11.466;11.397;11.463;105955
CNYRUBF;60;20250502;150000;11.464;11.48;11.447;11.453;99803
CNYRUBF;60;20250502;160000;11.454;11.455;11.426;11.429;72386
CNYRUBF;60;20250502;170000;11.428;11.439;11.382;11.417;92383
CNYRUBF;60;20250502;180000;11.417;11.435;11.392;11.404;88935
CNYRUBF;60;20250502;190000;11.414;11.44;11.413;11.429;23627
CNYRUBF;60;20250502;200000;11.429;11.434;11.413;11.428;11474
CNYRUBF;60;20250502;210000;11.428;11.432;11.416;11.43;9368
CNYRUBF;60;20250502;220000;11.426;11.445;11.425;11.432;14490
CNYRUBF;60;20250502;230000;11.433;11.451;11.432;11.444;21944
CNYRUBF;60;20250505;090000;11.453;11.505;11.453;11.492;174856
CNYRUBF;60;20250505;100000;11.494;11.498;11.34;11.373;447722
CNYRUBF;60;20250505;110000;11.372;11.375;11.311;11.313;232408
CNYRUBF;60;20250505;120000;11.311;11.318;11.252;11.273;261736
CNYRUBF;60;20250505;130000;11.274;11.274;11.201;11.227;257219
CNYRUBF;60;20250505;140000;11.227;11.308;11.223;11.29;252750
CNYRUBF;60;20250505;150000;11.289;11.3;11.26;11.262;102454
CNYRUBF;60;20250505;160000;11.262;11.268;11.202;11.207;261942
CNYRUBF;60;20250505;170000;11.207;11.239;11.202;11.224;143309
CNYRUBF;60;20250505;180000;11.225;11.227;11.18;11.208;161645
CNYRUBF;60;20250505;190000;11.208;11.235;11.201;11.221;56908
CNYRUBF;60;20250505;200000;11.22;11.229;11.214;11.218;12795
CNYRUBF;60;20250505;210000;11.218;11.222;11.203;11.217;14802
CNYRUBF;60;20250505;220000;11.216;11.217;11.203;11.215;5892
CNYRUBF;60;20250505;230000;11.215;11.237;11.215;11.224;16998
CNYRUBF;60;20250506;090000;11.209;11.223;11.158;11.197;125399
