<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUBF;5;20260105;085500;78.97;78.97;78.97;78.97;112
USDRUBF;5;20260105;090000;78.96;79.19;78.96;79.05;1227
USDRUBF;5;20260105;090500;79.06;79.1;78.94;79.04;1695
USDRUBF;5;20260105;091000;79.04;79.07;79;79.07;121
USDRUBF;5;20260105;091500;79.07;79.11;79.03;79.05;316
USDRUBF;5;20260105;092000;79.03;79.09;79.03;79.04;493
USDRUBF;5;20260105;092500;79.06;79.06;79;79.05;461
USDRUBF;5;20260105;093000;79.04;79.09;79.04;79.04;342
USDRUBF;5;20260105;093500;79.07;79.15;79.01;79.11;727
USDRUBF;5;20260105;094000;79.11;79.16;79.07;79.16;1074
USDRUBF;5;20260105;094500;79.13;79.22;79.05;79.09;2127
USDRUBF;5;20260105;095000;79.08;79.12;79.04;79.11;1431
USDRUBF;5;20260105;095500;79.12;79.14;79.04;79.1;971
USDRUBF;5;20260105;100000;79.1;79.14;79.02;79.14;2432
USDRUBF;5;20260105;100500;79.13;79.17;79.05;79.15;1815
USDRUBF;5;20260105;101000;79.15;79.26;79.15;79.23;2674
USDRUBF;5;20260105;101500;79.24;79.42;79.22;79.41;4269
USDRUBF;5;20260105;102000;79.41;79.55;79.38;79.53;2179
USDRUBF;5;20260105;102500;79.53;79.55;79.42;79.42;2482
USDRUBF;5;20260105;103000;79.42;79.61;79.42;79.51;4277
USDRUBF;5;20260105;103500;79.51;79.56;79.48;79.54;1844
USDRUBF;5;20260105;104000;79.54;79.64;79.54;79.6;4151
USDRUBF;5;20260105;104500;79.59;79.78;79.58;79.77;6145
USDRUBF;5;20260105;105000;79.78;79.85;79.76;79.84;4144
USDRUBF;5;20260105;105500;79.84;80.01;79.83;80.01;5765
USDRUBF;5;20260105;110000;80.01;80.04;79.77;79.79;4905
USDRUBF;5;20260105;110500;79.79;79.86;79.77;79.84;1395
USDRUBF;5;20260105;111000;79.85;79.92;79.84;79.88;2046
USDRUBF;5;20260105;111500;79.87;79.91;79.84;79.91;1351
USDRUBF;5;20260105;112000;79.9;79.98;79.89;79.93;2473
USDRUBF;5;20260105;112500;79.92;79.93;79.86;79.89;868
USDRUBF;5;20260105;113000;79.89;79.9;79.87;79.87;556
USDRUBF;5;20260105;113500;79.87;79.87;79.85;79.86;532
USDRUBF;5;20260105;114000;79.85;79.85;79.83;79.83;900
USDRUBF;5;20260105;114500;79.83;79.86;79.83;79.86;647
USDRUBF;5;20260105;115000;79.86;79.89;79.86;79.87;176
USDRUBF;5;20260105;115500;79.9;79.9;79.86;79.87;304
USDRUBF;5;20260105;120000;79.87;79.96;79.86;79.91;783
USDRUBF;5;20260105;120500;79.91;79.93;79.87;79.91;1967
USDRUBF;5;20260105;121000;79.92;79.96;79.9;79.95;1814
USDRUBF;5;20260105;121500;79.95;80.04;79.95;80.03;2861
USDRUBF;5;20260105;122000;80.03;80.09;80.01;80.04;3347
USDRUBF;5;20260105;122500;80.03;80.07;79.98;80;1089
USDRUBF;5;20260105;123000;79.98;80.02;79.98;80;322
USDRUBF;5;20260105;123500;80;80.03;79.99;80.01;659
USDRUBF;5;20260105;124000;80.01;80.02;79.98;79.98;661
USDRUBF;5;20260105;124500;79.98;80.05;79.97;80.01;2296
USDRUBF;5;20260105;125000;80.01;80.02;79.83;79.88;3853
USDRUBF;5;20260105;125500;79.87;79.87;79.7;79.73;4176
USDRUBF;5;20260105;130000;79.74;79.78;79.66;79.76;1736
USDRUBF;5;20260105;130500;79.76;79.79;79.71;79.75;1054
USDRUBF;5;20260105;131000;79.75;79.77;79.73;79.74;893
USDRUBF;5;20260105;131500;79.75;79.88;79.74;79.86;967
USDRUBF;5;20260105;132000;79.86;79.88;79.83;79.87;449
USDRUBF;5;20260105;132500;79.87;79.91;79.87;79.9;444
USDRUBF;5;20260105;133000;79.91;79.92;79.9;79.9;190
USDRUBF;5;20260105;133500;79.9;79.91;79.85;79.91;768
USDRUBF;5;20260105;134000;79.9;79.91;79.83;79.86;1342
USDRUBF;5;20260105;134500;79.85;79.87;79.84;79.86;396
USDRUBF;5;20260105;135000;79.86;79.87;79.83;79.87;454
USDRUBF;5;20260105;135500;79.87;79.88;79.82;79.84;490
USDRUBF;5;20260105;140500;79.85;79.9;79.85;79.89;457
USDRUBF;5;20260105;141000;79.9;79.9;79.79;79.83;888
USDRUBF;5;20260105;141500;79.82;79.83;79.76;79.77;871
USDRUBF;5;20260105;142000;79.78;79.81;79.76;79.81;244
USDRUBF;5;20260105;142500;79.81;79.85;79.81;79.82;280
USDRUBF;5;20260105;143000;79.83;79.86;79.82;79.83;399
USDRUBF;5;20260105;143500;79.83;79.85;79.75;79.77;549
USDRUBF;5;20260105;144000;79.74;79.77;79.73;79.75;861
USDRUBF;5;20260105;144500;79.75;79.76;79.73;79.75;194
USDRUBF;5;20260105;145000;79.74;79.75;79.73;79.74;192
USDRUBF;5;20260105;145500;79.73;79.74;79.67;79.71;1097
USDRUBF;5;20260105;150000;79.72;79.76;79.67;79.75;703
USDRUBF;5;20260105;150500;79.75;79.76;79.7;79.75;362
USDRUBF;5;20260105;151000;79.74;79.75;79.72;79.72;352
USDRUBF;5;20260105;151500;79.74;79.78;79.73;79.77;369
USDRUBF;5;20260105;152000;79.77;79.78;79.75;79.77;171
USDRUBF;5;20260105;152500;79.77;79.77;79.75;79.77;347
USDRUBF;5;20260105;153000;79.77;79.83;79.76;79.81;1131
USDRUBF;5;20260105;153500;79.81;79.83;79.8;79.83;677
USDRUBF;5;20260105;154000;79.83;79.84;79.82;79.83;409
USDRUBF;5;20260105;154500;79.83;79.84;79.8;79.8;221
USDRUBF;5;20260105;155000;79.8;79.82;79.8;79.82;248
USDRUBF;5;20260105;155500;79.82;79.82;79.81;79.82;145
USDRUBF;5;20260105;160000;79.81;79.83;79.8;79.81;367
USDRUBF;5;20260105;160500;79.8;79.87;79.8;79.86;1063
USDRUBF;5;20260105;161000;79.86;79.88;79.86;79.88;975
USDRUBF;5;20260105;161500;79.89;79.89;79.87;79.88;518
USDRUBF;5;20260105;162000;79.87;79.87;79.85;79.87;339
USDRUBF;5;20260105;162500;79.87;79.87;79.86;79.87;55
USDRUBF;5;20260105;163000;79.86;79.87;79.85;79.85;119
USDRUBF;5;20260105;163500;79.86;79.89;79.84;79.88;168
USDRUBF;5;20260105;164000;79.88;79.88;79.86;79.87;240
USDRUBF;5;20260105;164500;79.87;79.9;79.87;79.87;244
USDRUBF;5;20260105;165000;79.86;79.88;79.85;79.85;581
USDRUBF;5;20260105;165500;79.85;79.86;79.84;79.85;470
USDRUBF;5;20260105;170000;79.85;79.85;79.84;79.84;779
USDRUBF;5;20260105;170500;79.84;79.84;79.8;79.82;810
USDRUBF;5;20260105;171000;79.81;79.83;79.8;79.81;352
USDRUBF;5;20260105;171500;79.81;79.81;79.79;79.79;690
USDRUBF;5;20260105;172000;79.8;79.85;79.79;79.83;355
USDRUBF;5;20260105;172500;79.85;79.86;79.84;79.84;144
USDRUBF;5;20260105;173000;79.85;79.89;79.84;79.88;571
USDRUBF;5;20260105;173500;79.89;79.89;79.84;79.85;504
USDRUBF;5;20260105;174000;79.85;79.85;79.81;79.84;502
USDRUBF;5;20260105;174500;79.83;79.84;79.83;79.83;102
USDRUBF;5;20260105;175000;79.83;79.85;79.83;79.84;252
USDRUBF;5;20260105;175500;79.82;79.84;79.82;79.84;81
USDRUBF;5;20260105;180000;79.84;79.85;79.81;79.81;202
USDRUBF;5;20260105;180500;79.81;79.81;79.75;79.77;1330
USDRUBF;5;20260105;181000;79.76;79.78;79.75;79.76;533
USDRUBF;5;20260105;181500;79.77;79.78;79.75;79.75;706
USDRUBF;5;20260105;182000;79.75;79.81;79.75;79.8;990
USDRUBF;5;20260105;182500;79.81;79.84;79.81;79.82;991
USDRUBF;5;20260105;183000;79.81;79.83;79.8;79.83;652
USDRUBF;5;20260105;183500;79.81;79.82;79.8;79.81;317
USDRUBF;5;20260105;184000;79.81;79.82;79.8;79.82;405
USDRUBF;5;20260105;184500;79.82;79.84;79.8;79.84;1482
USDRUBF;5;20260105;190500;79.85;79.99;79.85;79.93;964
USDRUBF;5;20260105;191000;79.93;79.97;79.91;79.94;306
USDRUBF;5;20260105;191500;79.94;80;79.93;79.99;692
USDRUBF;5;20260105;192000;79.99;79.99;79.97;79.99;303
USDRUBF;5;20260105;192500;79.98;79.98;79.97;79.97;67
USDRUBF;5;20260105;193000;79.98;79.99;79.95;79.97;852
USDRUBF;5;20260105;193500;79.97;80.05;79.97;80.05;1072
USDRUBF;5;20260105;194000;80.05;80.05;80;80.01;352
USDRUBF;5;20260105;194500;80.02;80.03;79.98;79.98;103
USDRUBF;5;20260105;195000;79.98;79.99;79.98;79.98;70
USDRUBF;5;20260105;195500;79.98;79.99;79.88;79.96;832
USDRUBF;5;20260105;200000;79.95;79.96;79.91;79.95;830
USDRUBF;5;20260105;200500;79.94;79.99;79.91;79.97;1085
USDRUBF;5;20260105;201000;79.96;79.98;79.95;79.95;127
USDRUBF;5;20260105;201500;79.95;79.96;79.94;79.95;109
USDRUBF;5;20260105;202000;79.94;79.97;79.94;79.94;129
USDRUBF;5;20260105;202500;79.95;79.95;79.93;79.93;73
USDRUBF;5;20260105;203000;79.95;79.97;79.95;79.96;147
USDRUBF;5;20260105;203500;79.96;79.98;79.95;79.98;162
USDRUBF;5;20260105;204000;79.97;79.99;79.97;79.98;172
USDRUBF;5;20260105;204500;79.99;79.99;79.97;79.98;38
USDRUBF;5;20260105;205000;79.97;79.99;79.94;79.96;132
USDRUBF;5;20260105;205500;79.94;79.97;79.93;79.95;82
USDRUBF;5;20260105;210000;79.95;79.98;79.94;79.94;56
USDRUBF;5;20260105;210500;79.94;79.98;79.94;79.94;117
USDRUBF;5;20260105;211000;79.94;79.96;79.91;79.94;64
USDRUBF;5;20260105;211500;79.97;79.97;79.94;79.94;30
USDRUBF;5;20260105;212000;79.96;79.99;79.95;79.97;274
USDRUBF;5;20260105;212500;79.97;79.99;79.96;79.97;34
USDRUBF;5;20260105;213000;79.97;79.97;79.96;79.97;73
USDRUBF;5;20260105;213500;79.97;79.99;79.96;79.98;298
USDRUBF;5;20260105;214000;79.98;79.99;79.95;79.95;64
USDRUBF;5;20260105;214500;79.95;79.97;79.95;79.97;31
USDRUBF;5;20260105;215000;79.98;80.03;79.98;80.02;253
USDRUBF;5;20260105;215500;80.03;80.03;80.02;80.03;132
USDRUBF;5;20260105;220000;80.01;80.02;80.01;80.01;61
USDRUBF;5;20260105;220500;80.03;80.15;80.03;80.15;1190
USDRUBF;5;20260105;221000;80.14;80.18;80.09;80.13;837
USDRUBF;5;20260105;221500;80.13;80.14;80.07;80.1;200
USDRUBF;5;20260105;222000;80.07;80.09;80.07;80.07;266
USDRUBF;5;20260105;222500;80.07;80.12;80.07;80.1;339
USDRUBF;5;20260105;223000;80.1;80.16;80.02;80.04;410
USDRUBF;5;20260105;223500;80.03;80.04;80.02;80.04;104
USDRUBF;5;20260105;224000;80.04;80.04;80.03;80.03;3
USDRUBF;5;20260105;224500;80.03;80.04;80.03;80.03;44
USDRUBF;5;20260105;225000;80.03;80.04;80.03;80.04;27
USDRUBF;5;20260105;225500;80.04;80.04;80.03;80.03;104
USDRUBF;5;20260105;230000;80.04;80.04;80.01;80.02;47
USDRUBF;5;20260105;230500;80.02;80.02;80.01;80.01;127
USDRUBF;5;20260105;231000;80.02;80.03;80.01;80.03;169
USDRUBF;5;20260105;231500;80.03;80.05;80.01;80.02;152
USDRUBF;5;20260105;232000;80.04;80.05;80.04;80.05;59
USDRUBF;5;20260105;232500;80.05;80.05;80.02;80.02;48
