<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUBF;1;20260401;085900;81.4;81.4;81.4;81.4;80
USDRUBF;1;20260401;090000;81.34;81.37;81.3;81.31;250
USDRUBF;1;20260401;090100;81.33;81.36;81.31;81.31;214
USDRUBF;1;20260401;090200;81.31;81.31;81.22;81.24;728
USDRUBF;1;20260401;090300;81.24;81.26;81.23;81.24;101
USDRUBF;1;20260401;090400;81.26;81.27;81.23;81.23;122
USDRUBF;1;20260401;090500;81.23;81.23;81.17;81.2;298
USDRUBF;1;20260401;090600;81.22;81.22;81.2;81.22;92
USDRUBF;1;20260401;090700;81.21;81.23;81.16;81.16;368
USDRUBF;1;20260401;090800;81.17;81.19;81.16;81.16;164
USDRUBF;1;20260401;090900;81.16;81.19;81.16;81.17;37
USDRUBF;1;20260401;091000;81.17;81.19;81.17;81.18;197
USDRUBF;1;20260401;091100;81.18;81.18;81.16;81.18;54
USDRUBF;1;20260401;091200;81.19;81.19;81.17;81.19;39
USDRUBF;1;20260401;091300;81.19;81.2;81.17;81.19;140
USDRUBF;1;20260401;091400;81.19;81.19;81.19;81.19;10
USDRUBF;1;20260401;091500;81.17;81.18;81.16;81.16;170
USDRUBF;1;20260401;091600;81.16;81.17;81.16;81.16;65
USDRUBF;1;20260401;091700;81.16;81.17;81.15;81.16;100
USDRUBF;1;20260401;091800;81.17;81.18;81.16;81.16;96
USDRUBF;1;20260401;091900;81.17;81.18;81.16;81.18;106
USDRUBF;1;20260401;092000;81.18;81.21;81.18;81.21;151
USDRUBF;1;20260401;092100;81.21;81.23;81.21;81.21;94
USDRUBF;1;20260401;092200;81.21;81.22;81.21;81.21;13
USDRUBF;1;20260401;092300;81.21;81.21;81.21;81.21;61
USDRUBF;1;20260401;092400;81.2;81.2;81.18;81.19;200
USDRUBF;1;20260401;092500;81.18;81.19;81.18;81.19;25
USDRUBF;1;20260401;092600;81.2;81.21;81.19;81.2;213
USDRUBF;1;20260401;092700;81.2;81.26;81.19;81.22;367
USDRUBF;1;20260401;092800;81.21;81.22;81.21;81.22;12
USDRUBF;1;20260401;092900;81.23;81.23;81.19;81.22;210
USDRUBF;1;20260401;093000;81.22;81.22;81.21;81.21;194
USDRUBF;1;20260401;093100;81.21;81.23;81.21;81.23;460
USDRUBF;1;20260401;093200;81.23;81.23;81.22;81.23;164
USDRUBF;1;20260401;093300;81.22;81.23;81.21;81.21;179
USDRUBF;1;20260401;093400;81.23;81.24;81.22;81.22;39
USDRUBF;1;20260401;093500;81.23;81.24;81.22;81.22;18
USDRUBF;1;20260401;093700;81.23;81.23;81.19;81.21;418
USDRUBF;1;20260401;093800;81.2;81.2;81.19;81.19;62
USDRUBF;1;20260401;093900;81.19;81.2;81.18;81.18;215
USDRUBF;1;20260401;094000;81.19;81.19;81.17;81.18;137
USDRUBF;1;20260401;094100;81.18;81.18;81.15;81.15;311
USDRUBF;1;20260401;094200;81.15;81.16;81.15;81.15;62
USDRUBF;1;20260401;094300;81.15;81.16;81.15;81.15;16
USDRUBF;1;20260401;094400;81.16;81.17;81.15;81.17;219
USDRUBF;1;20260401;094500;81.17;81.17;81.14;81.15;647
USDRUBF;1;20260401;094600;81.16;81.17;81.12;81.13;656
USDRUBF;1;20260401;094700;81.15;81.16;81.14;81.14;161
USDRUBF;1;20260401;094800;81.15;81.15;81.13;81.13;256
USDRUBF;1;20260401;094900;81.13;81.15;81.13;81.15;191
USDRUBF;1;20260401;095000;81.16;81.16;81.14;81.15;201
USDRUBF;1;20260401;095100;81.15;81.15;81.14;81.14;77
USDRUBF;1;20260401;095200;81.14;81.23;81.14;81.23;1190
USDRUBF;1;20260401;095300;81.22;81.23;81.21;81.21;767
USDRUBF;1;20260401;095400;81.2;81.24;81.19;81.23;828
USDRUBF;1;20260401;095500;81.24;81.25;81.23;81.25;146
USDRUBF;1;20260401;095600;81.24;81.28;81.24;81.27;830
USDRUBF;1;20260401;095700;81.27;81.28;81.25;81.25;260
USDRUBF;1;20260401;095800;81.23;81.26;81.23;81.25;218
USDRUBF;1;20260401;095900;81.25;81.27;81.25;81.27;213
USDRUBF;1;20260401;100000;81.27;81.27;81.2;81.2;2315
USDRUBF;1;20260401;100100;81.2;81.2;81.16;81.17;638
USDRUBF;1;20260401;100200;81.16;81.16;81.1;81.13;1446
USDRUBF;1;20260401;100300;81.11;81.17;81.1;81.17;411
USDRUBF;1;20260401;100400;81.17;81.17;81.08;81.1;1371
USDRUBF;1;20260401;100500;81.1;81.1;81.05;81.08;1193
USDRUBF;1;20260401;100600;81.06;81.12;81.05;81.12;355
USDRUBF;1;20260401;100700;81.12;81.12;81.09;81.1;283
USDRUBF;1;20260401;100800;81.09;81.1;81.06;81.07;228
USDRUBF;1;20260401;100900;81.06;81.07;81;81;1602
USDRUBF;1;20260401;101000;81;81;80.96;80.98;468
USDRUBF;1;20260401;101100;80.99;80.99;80.91;80.92;1588
USDRUBF;1;20260401;101200;80.93;80.95;80.92;80.95;609
USDRUBF;1;20260401;101300;80.94;80.95;80.9;80.9;894
USDRUBF;1;20260401;101400;80.9;80.91;80.87;80.89;1983
USDRUBF;1;20260401;101500;80.89;80.89;80.82;80.83;1539
USDRUBF;1;20260401;101600;80.83;80.84;80.68;80.7;2737
USDRUBF;1;20260401;101700;80.71;80.76;80.7;80.76;1030
USDRUBF;1;20260401;101800;80.76;80.8;80.74;80.79;628
USDRUBF;1;20260401;101900;80.79;80.81;80.76;80.78;457
USDRUBF;1;20260401;102000;80.76;80.77;80.73;80.74;446
USDRUBF;1;20260401;102100;80.73;80.75;80.66;80.75;1626
USDRUBF;1;20260401;102200;80.73;80.74;80.68;80.69;1152
USDRUBF;1;20260401;102300;80.68;80.68;80.61;80.63;1025
USDRUBF;1;20260401;102400;80.62;80.63;80.56;80.57;1456
USDRUBF;1;20260401;102500;80.56;80.64;80.54;80.64;3316
USDRUBF;1;20260401;102600;80.64;80.64;80.57;80.58;1372
USDRUBF;1;20260401;102700;80.58;80.64;80.56;80.6;667
