<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUBF;60;20230901;090000;96.06;96.27;96.06;96.21;3357
USDRUBF;60;20230901;100000;96.22;96.35;95.97;96.12;4513
USDRUBF;60;20230901;110000;96.1;96.22;96.08;96.19;2269
USDRUBF;60;20230901;120000;96.16;96.39;96.13;96.38;4739
USDRUBF;60;20230901;130000;96.38;96.61;96.15;96.39;11009
USDRUBF;60;20230901;140000;96.47;96.72;96.18;96.34;7461
USDRUBF;60;20230901;150000;96.35;96.41;96.11;96.27;3410
USDRUBF;60;20230901;160000;96.26;96.29;95.73;95.73;5575
USDRUBF;60;20230901;170000;95.74;96.07;95.73;96.01;8171
USDRUBF;60;20230901;180000;96.02;96.44;96.02;96.4;2742
USDRUBF;60;20230901;190000;96.34;96.4;96.31;96.34;306
USDRUBF;60;20230901;200000;96.33;96.36;96.32;96.36;124
USDRUBF;60;20230901;210000;96.35;96.4;96.32;96.33;330
USDRUBF;60;20230901;220000;96.32;96.34;96.32;96.34;238
USDRUBF;60;20230901;230000;96.33;96.34;96.28;96.28;122
USDRUBF;60;20230904;090000;96.27;96.45;96.26;96.35;1618
USDRUBF;60;20230904;100000;96.35;96.5;96.26;96.5;3196
USDRUBF;60;20230904;110000;96.48;96.64;96.46;96.51;2318
USDRUBF;60;20230904;120000;96.51;96.61;96.48;96.61;1863
USDRUBF;60;20230904;130000;96.61;96.68;96.58;96.62;3319
USDRUBF;60;20230904;140000;96.66;96.8;96.61;96.75;1546
USDRUBF;60;20230904;150000;96.77;96.91;96.71;96.83;3811
USDRUBF;60;20230904;160000;96.86;96.87;96.67;96.69;1277
USDRUBF;60;20230904;170000;96.68;96.78;96.59;96.75;2715
USDRUBF;60;20230904;180000;96.73;96.83;96.67;96.76;1745
USDRUBF;60;20230904;190000;96.78;96.89;96.76;96.88;144
USDRUBF;60;20230904;200000;96.9;96.91;96.86;96.87;354
USDRUBF;60;20230904;210000;96.89;96.95;96.83;96.93;137
USDRUBF;60;20230904;220000;96.89;96.94;96.81;96.94;273
USDRUBF;60;20230904;230000;96.91;96.97;96.89;96.93;294
USDRUBF;60;20230905;090000;97.01;97.27;97.01;97.25;2757
USDRUBF;60;20230905;100000;97.25;97.59;97.2;97.55;6315
USDRUBF;60;20230905;110000;97.58;97.62;97.46;97.52;6178
USDRUBF;60;20230905;120000;97.53;97.59;97.37;97.57;2405
USDRUBF;60;20230905;130000;97.58;97.64;97.27;97.5;3215
USDRUBF;60;20230905;140000;97.52;97.6;97.38;97.41;1756
USDRUBF;60;20230905;150000;97.42;97.77;97.39;97.55;3310
USDRUBF;60;20230905;160000;97.55;97.69;97.52;97.69;6644
USDRUBF;60;20230905;170000;97.69;97.84;97.63;97.76;2394
USDRUBF;60;20230905;180000;97.79;97.85;97.72;97.85;1881
USDRUBF;60;20230905;190000;97.85;97.92;97.83;97.88;746
USDRUBF;60;20230905;200000;97.88;97.98;97.86;97.94;334
USDRUBF;60;20230905;210000;97.95;98;97.9;97.95;335
USDRUBF;60;20230905;220000;97.92;97.97;97.89;97.91;463
USDRUBF;60;20230905;230000;97.93;97.99;97.91;97.96;270
USDRUBF;60;20230906;090000;97.89;97.94;97.26;97.52;16823
USDRUBF;60;20230906;100000;97.52;97.88;97.47;97.69;11558
USDRUBF;60;20230906;110000;97.71;97.86;97.58;97.85;5757
USDRUBF;60;20230906;120000;97.85;98.11;97.76;97.78;11291
USDRUBF;60;20230906;130000;97.77;97.96;97.77;97.92;6737
USDRUBF;60;20230906;140000;97.94;97.94;97.66;97.66;6768
USDRUBF;60;20230906;150000;97.68;97.9;97.67;97.84;2268
USDRUBF;60;20230906;160000;97.84;97.93;97.82;97.88;2894
USDRUBF;60;20230906;170000;97.9;98.23;97.84;98.19;4208
USDRUBF;60;20230906;180000;98.22;98.45;98.14;98.45;8079
USDRUBF;60;20230906;190000;98.44;98.44;98.25;98.26;634
USDRUBF;60;20230906;200000;98.28;98.31;98.24;98.25;300
USDRUBF;60;20230906;210000;98.24;98.26;98.05;98.26;586
USDRUBF;60;20230906;220000;98.26;98.27;98.21;98.24;115
USDRUBF;60;20230906;230000;98.24;98.27;98.1;98.24;165
USDRUBF;60;20230907;090000;98.3;98.3;98.11;98.24;1767
USDRUBF;60;20230907;100000;98.21;98.5;98.15;98.45;5639
USDRUBF;60;20230907;110000;98.44;98.47;98.26;98.37;2795
USDRUBF;60;20230907;120000;98.38;98.58;98.32;98.5;7595
USDRUBF;60;20230907;130000;98.49;98.49;98.24;98.36;6028
USDRUBF;60;20230907;140000;98.36;98.36;97.13;98.01;19852
USDRUBF;60;20230907;150000;97.98;98.3;97.76;97.78;11017
USDRUBF;60;20230907;160000;97.77;98.23;97.54;98.15;12538
USDRUBF;60;20230907;170000;98.15;98.35;98.15;98.27;3723
USDRUBF;60;20230907;180000;98.28;98.46;98.28;98.39;3324
USDRUBF;60;20230907;190000;98.31;98.41;98.22;98.33;426
USDRUBF;60;20230907;200000;98.33;98.37;98.32;98.33;154
USDRUBF;60;20230907;210000;98.33;98.37;98.33;98.35;240
USDRUBF;60;20230907;220000;98.35;98.38;98.33;98.38;286
USDRUBF;60;20230907;230000;98.34;98.35;98.32;98.32;489
USDRUBF;60;20230908;090000;98.35;98.4;98.22;98.35;2019
USDRUBF;60;20230908;100000;98.36;98.37;97.78;97.85;6993
USDRUBF;60;20230908;110000;97.84;97.91;97.51;97.66;8749
USDRUBF;60;20230908;120000;97.67;97.99;97.59;97.65;8251
USDRUBF;60;20230908;130000;97.64;97.88;97.64;97.82;3208
USDRUBF;60;20230908;140000;97.82;98.02;97.79;97.94;2001
USDRUBF;60;20230908;150000;97.97;98.07;97.89;98.03;3022
USDRUBF;60;20230908;160000;98.02;98.11;97.79;97.79;5946
USDRUBF;60;20230908;170000;97.79;97.94;97.72;97.88;2286
USDRUBF;60;20230908;180000;97.89;97.9;97.62;97.79;2515
USDRUBF;60;20230908;190000;97.72;97.76;97.65;97.68;561
USDRUBF;60;20230908;200000;97.67;97.74;97.65;97.69;192
USDRUBF;60;20230908;210000;97.72;97.79;97.72;97.74;136
USDRUBF;60;20230908;220000;97.74;97.77;97.69;97.72;278
USDRUBF;60;20230908;230000;97.71;97.71;97.65;97.65;223
USDRUBF;60;20230911;090000;97.37;97.37;96.48;96.67;11269
USDRUBF;60;20230911;100000;96.64;96.86;96.54;96.79;5810
USDRUBF;60;20230911;110000;96.76;96.84;96.07;96.24;15253
USDRUBF;60;20230911;120000;96.22;96.51;96.22;96.25;5339
USDRUBF;60;20230911;130000;96.25;96.42;96.15;96.42;2909
USDRUBF;60;20230911;140000;96.42;96.45;96.12;96.28;4965
USDRUBF;60;20230911;150000;96.27;96.34;96.06;96.19;4217
