<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUBF;5;20230502;090000;80.27;80.4;80.27;80.3;200
USDRUBF;5;20230502;090500;80.32;80.42;80.32;80.41;176
USDRUBF;5;20230502;091000;80.4;80.41;80.39;80.41;64
USDRUBF;5;20230502;091500;80.41;80.41;80.38;80.4;281
USDRUBF;5;20230502;092000;80.39;80.41;80.38;80.38;129
USDRUBF;5;20230502;092500;80.37;80.38;80.37;80.37;92
USDRUBF;5;20230502;093000;80.38;80.4;80.37;80.4;194
USDRUBF;5;20230502;093500;80.4;80.4;80.34;80.34;95
USDRUBF;5;20230502;094000;80.34;80.34;80.34;80.34;71
USDRUBF;5;20230502;094500;80.36;80.36;80.36;80.36;2
USDRUBF;5;20230502;095000;80.38;80.43;80.37;80.43;65
USDRUBF;5;20230502;095500;80.41;80.41;80.27;80.27;230
USDRUBF;5;20230502;100000;80.25;80.54;80.25;80.43;418
USDRUBF;5;20230502;100500;80.43;80.5;80.26;80.33;242
USDRUBF;5;20230502;101000;80.37;80.39;80.28;80.28;50
USDRUBF;5;20230502;101500;80.29;80.34;80.28;80.29;164
USDRUBF;5;20230502;102000;80.27;80.33;80.23;80.3;448
USDRUBF;5;20230502;102500;80.26;80.32;80.17;80.2;747
USDRUBF;5;20230502;103000;80.18;80.21;80.04;80.04;1297
USDRUBF;5;20230502;103500;80.04;80.11;79.95;79.97;1077
USDRUBF;5;20230502;104000;79.97;80.15;79.96;80.11;822
USDRUBF;5;20230502;104500;80.14;80.14;79.87;79.87;649
USDRUBF;5;20230502;105000;79.87;79.96;79.84;79.85;385
USDRUBF;5;20230502;105500;79.88;79.9;79.83;79.83;420
USDRUBF;5;20230502;110000;79.83;79.96;79.83;79.88;628
USDRUBF;5;20230502;110500;79.87;79.91;79.85;79.91;220
USDRUBF;5;20230502;111000;79.91;79.97;79.85;79.86;575
USDRUBF;5;20230502;111500;79.87;79.95;79.81;79.93;791
USDRUBF;5;20230502;112000;79.92;80.02;79.92;79.97;1008
USDRUBF;5;20230502;112500;79.96;79.96;79.82;79.92;325
USDRUBF;5;20230502;113000;79.91;79.94;79.84;79.86;191
USDRUBF;5;20230502;113500;79.89;79.92;79.87;79.88;168
USDRUBF;5;20230502;114000;79.88;79.89;79.85;79.88;262
USDRUBF;5;20230502;114500;79.89;79.91;79.86;79.86;581
USDRUBF;5;20230502;115000;79.86;79.9;79.85;79.87;668
USDRUBF;5;20230502;115500;79.87;79.92;79.85;79.88;823
USDRUBF;5;20230502;120000;79.85;79.89;79.84;79.85;455
USDRUBF;5;20230502;120500;79.88;79.88;79.81;79.85;359
USDRUBF;5;20230502;121000;79.85;79.88;79.75;79.79;886
USDRUBF;5;20230502;121500;79.81;79.83;79.62;79.65;317
USDRUBF;5;20230502;122000;79.62;79.75;79.57;79.7;539
USDRUBF;5;20230502;122500;79.71;79.71;79.46;79.52;751
USDRUBF;5;20230502;123000;79.52;79.66;79.47;79.64;1152
USDRUBF;5;20230502;123500;79.64;79.71;79.62;79.66;536
USDRUBF;5;20230502;124000;79.67;79.7;79.64;79.69;336
USDRUBF;5;20230502;124500;79.68;79.68;79.64;79.66;526
USDRUBF;5;20230502;125000;79.65;79.67;79.57;79.59;111
USDRUBF;5;20230502;125500;79.6;79.64;79.59;79.62;195
USDRUBF;5;20230502;130000;79.62;79.77;79.62;79.77;214
USDRUBF;5;20230502;130500;79.75;79.83;79.75;79.83;327
USDRUBF;5;20230502;131000;79.8;79.8;79.67;79.72;154
