<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CNYRUBF;1;20240103;090000;12.675;12.691;12.672;12.673;105
CNYRUBF;1;20240103;090100;12.675;12.678;12.672;12.675;28
CNYRUBF;1;20240103;090200;12.677;12.677;12.674;12.674;26
CNYRUBF;1;20240103;090400;12.672;12.672;12.667;12.668;339
CNYRUBF;1;20240103;090500;12.666;12.671;12.665;12.67;305
CNYRUBF;1;20240103;090600;12.671;12.672;12.671;12.672;15
CNYRUBF;1;20240103;090700;12.673;12.673;12.673;12.673;30
CNYRUBF;1;20240103;090800;12.673;12.676;12.673;12.676;310
CNYRUBF;1;20240103;091000;12.678;12.678;12.678;12.678;5
CNYRUBF;1;20240103;091100;12.678;12.683;12.678;12.68;61
CNYRUBF;1;20240103;091200;12.681;12.681;12.679;12.679;5
CNYRUBF;1;20240103;091400;12.682;12.683;12.682;12.683;16
CNYRUBF;1;20240103;091500;12.685;12.689;12.685;12.686;34
CNYRUBF;1;20240103;091600;12.689;12.69;12.689;12.689;58
CNYRUBF;1;20240103;091700;12.689;12.69;12.686;12.686;80
CNYRUBF;1;20240103;091800;12.686;12.688;12.686;12.687;66
CNYRUBF;1;20240103;091900;12.687;12.687;12.683;12.683;157
CNYRUBF;1;20240103;092000;12.683;12.683;12.681;12.681;38
CNYRUBF;1;20240103;092100;12.68;12.68;12.68;12.68;1
CNYRUBF;1;20240103;092200;12.677;12.683;12.677;12.683;44
CNYRUBF;1;20240103;092300;12.683;12.683;12.683;12.683;4
CNYRUBF;1;20240103;092400;12.682;12.682;12.682;12.682;5
CNYRUBF;1;20240103;092500;12.683;12.683;12.678;12.678;42
CNYRUBF;1;20240103;092600;12.678;12.678;12.677;12.677;100
CNYRUBF;1;20240103;092700;12.677;12.677;12.672;12.672;130
CNYRUBF;1;20240103;092900;12.672;12.672;12.671;12.671;100
CNYRUBF;1;20240103;093000;12.67;12.67;12.67;12.67;1
CNYRUBF;1;20240103;093100;12.671;12.671;12.671;12.671;1
CNYRUBF;1;20240103;093300;12.674;12.675;12.674;12.675;9
CNYRUBF;1;20240103;093500;12.676;12.676;12.675;12.676;30
CNYRUBF;1;20240103;093600;12.675;12.675;12.675;12.675;15
CNYRUBF;1;20240103;093700;12.675;12.675;12.675;12.675;6
CNYRUBF;1;20240103;093800;12.676;12.676;12.676;12.676;5
CNYRUBF;1;20240103;094000;12.676;12.676;12.676;12.676;150
CNYRUBF;1;20240103;094300;12.675;12.676;12.675;12.675;15
CNYRUBF;1;20240103;094400;12.675;12.675;12.675;12.675;49
CNYRUBF;1;20240103;094500;12.675;12.676;12.675;12.675;103
CNYRUBF;1;20240103;094600;12.675;12.675;12.675;12.675;5
CNYRUBF;1;20240103;094700;12.677;12.677;12.677;12.677;1
CNYRUBF;1;20240103;094800;12.677;12.677;12.675;12.677;51
CNYRUBF;1;20240103;094900;12.677;12.684;12.677;12.682;245
CNYRUBF;1;20240103;095000;12.681;12.683;12.681;12.683;200
CNYRUBF;1;20240103;095200;12.68;12.68;12.68;12.68;4
CNYRUBF;1;20240103;095300;12.68;12.683;12.68;12.683;200
CNYRUBF;1;20240103;095500;12.68;12.68;12.68;12.68;5
CNYRUBF;1;20240103;095600;12.68;12.68;12.68;12.68;2
CNYRUBF;1;20240103;095700;12.68;12.68;12.68;12.68;10
CNYRUBF;1;20240103;095800;12.68;12.68;12.68;12.68;29
CNYRUBF;1;20240103;100000;12.68;12.684;12.68;12.684;238
CNYRUBF;1;20240103;100100;12.684;12.684;12.682;12.682;5
