<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUBF;60;20230502;090000;80.27;80.43;80.27;80.27;1599
USDRUBF;60;20230502;100000;80.25;80.54;79.83;79.83;6719
USDRUBF;60;20230502;110000;79.83;80.02;79.81;79.88;6240
USDRUBF;60;20230502;120000;79.85;79.89;79.46;79.62;6163
USDRUBF;60;20230502;130000;79.62;79.83;79.59;79.59;4623
USDRUBF;60;20230502;140000;79.58;79.65;79.52;79.61;2127
USDRUBF;60;20230502;150000;79.6;79.72;79.48;79.71;2947
USDRUBF;60;20230502;160000;79.71;79.72;79.58;79.67;2060
USDRUBF;60;20230502;170000;79.67;79.67;79.51;79.63;3249
USDRUBF;60;20230502;180000;79.62;79.88;79.56;79.76;10746
USDRUBF;60;20230502;190000;79.61;80;79.61;79.7;1055
USDRUBF;60;20230502;200000;79.73;79.79;79.54;79.6;547
USDRUBF;60;20230502;210000;79.61;79.7;79.59;79.67;177
USDRUBF;60;20230502;220000;79.67;79.71;79.59;79.59;254
USDRUBF;60;20230502;230000;79.61;79.61;79.58;79.58;55
USDRUBF;60;20230503;090000;79.75;79.94;79.57;79.61;1765
USDRUBF;60;20230503;100000;79.61;79.72;79.35;79.36;6049
USDRUBF;60;20230503;110000;79.36;79.37;78.81;79.14;10215
USDRUBF;60;20230503;120000;79.14;79.27;79.09;79.23;2091
USDRUBF;60;20230503;130000;79.23;79.38;79.17;79.35;1935
USDRUBF;60;20230503;140000;79.35;79.35;79.18;79.25;1904
USDRUBF;60;20230503;150000;79.25;79.29;79.06;79.25;3633
USDRUBF;60;20230503;160000;79.24;79.33;79.2;79.28;8377
USDRUBF;60;20230503;170000;79.29;79.31;79.19;79.22;3450
USDRUBF;60;20230503;180000;79.22;79.24;79.01;79.01;2159
USDRUBF;60;20230503;190000;79.08;79.12;78.9;79.08;499
USDRUBF;60;20230503;200000;79.1;79.32;79.08;79.16;422
USDRUBF;60;20230503;210000;79.17;79.18;78.95;79.09;401
USDRUBF;60;20230503;220000;79.08;79.21;79.07;79.19;122
USDRUBF;60;20230503;230000;79.17;79.21;79.1;79.16;82
USDRUBF;60;20230504;090000;79.1;79.29;79.09;79.09;2005
USDRUBF;60;20230504;100000;79.1;79.26;78.89;78.91;7121
