<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUBF;5;20250103;100000;103.19;103.9;103.19;103.61;1506
USDRUBF;5;20250103;100500;103.62;103.91;103.47;103.5;1523
USDRUBF;5;20250103;101000;103.5;103.65;103.36;103.4;1119
USDRUBF;5;20250103;101500;103.36;103.55;103.29;103.44;815
USDRUBF;5;20250103;102000;103.44;103.74;103.44;103.67;514
USDRUBF;5;20250103;102500;103.67;103.76;103.58;103.62;573
USDRUBF;5;20250103;103000;103.62;103.72;103.45;103.56;724
USDRUBF;5;20250103;103500;103.53;103.6;103.47;103.54;236
USDRUBF;5;20250103;104000;103.54;103.62;103.5;103.5;295
USDRUBF;5;20250103;104500;103.5;103.82;103.5;103.7;563
USDRUBF;5;20250103;105000;103.74;103.88;103.7;103.79;469
USDRUBF;5;20250103;105500;103.86;104;103.77;103.96;487
USDRUBF;5;20250103;110000;103.96;104.04;103.91;104;1670
USDRUBF;5;20250103;110500;104;104.17;104;104.14;348
USDRUBF;5;20250103;111000;104.14;104.3;104.1;104.29;520
USDRUBF;5;20250103;111500;104.3;104.32;104.01;104.13;891
USDRUBF;5;20250103;112000;104.1;104.1;103.92;103.92;396
USDRUBF;5;20250103;112500;103.93;104.18;103.93;104.18;759
USDRUBF;5;20250103;113000;104.18;104.24;104.09;104.11;378
USDRUBF;5;20250103;113500;104.15;104.15;104.04;104.04;122
USDRUBF;5;20250103;114000;104.04;104.04;103.82;103.87;328
USDRUBF;5;20250103;114500;103.85;104;103.83;103.99;264
USDRUBF;5;20250103;115000;103.98;104.03;103.86;103.86;149
USDRUBF;5;20250103;115500;103.86;103.97;103.86;103.97;109
USDRUBF;5;20250103;120000;103.99;104.07;103.91;104.05;393
USDRUBF;5;20250103;120500;104.05;104.06;103.93;104;192
USDRUBF;5;20250103;121000;103.96;104.05;103.96;103.99;306
USDRUBF;5;20250103;121500;103.98;104.04;103.95;103.95;93
USDRUBF;5;20250103;122000;103.97;104.02;103.95;103.97;194
USDRUBF;5;20250103;122500;103.97;104.02;103.91;104.01;261
USDRUBF;5;20250103;123000;104;104.05;103.99;104.01;142
USDRUBF;5;20250103;123500;103.99;103.99;103.77;103.77;486
USDRUBF;5;20250103;124000;103.76;103.82;103.65;103.65;264
USDRUBF;5;20250103;124500;103.66;103.86;103.51;103.75;828
USDRUBF;5;20250103;125000;103.78;103.9;103.78;103.87;170
USDRUBF;5;20250103;125500;103.9;103.93;103.79;103.85;194
USDRUBF;5;20250103;130000;103.83;103.87;103.8;103.8;87
USDRUBF;5;20250103;130500;103.83;103.83;103.78;103.78;22
USDRUBF;5;20250103;131000;103.79;103.98;103.78;103.98;294
USDRUBF;5;20250103;131500;103.98;104;103.81;103.92;163
USDRUBF;5;20250103;132000;103.94;103.95;103.85;103.86;111
USDRUBF;5;20250103;132500;103.83;103.87;103.83;103.86;33
USDRUBF;5;20250103;133000;103.88;103.98;103.87;103.95;84
USDRUBF;5;20250103;133500;103.98;104;103.95;104;94
USDRUBF;5;20250103;134000;103.99;104.09;103.99;104;364
USDRUBF;5;20250103;134500;104.04;104.15;104.01;104.11;491
USDRUBF;5;20250103;135000;104.14;104.15;104.02;104.05;378
USDRUBF;5;20250103;135500;104.05;104.1;104.05;104.1;266
USDRUBF;5;20250103;140500;104.11;104.22;104.1;104.18;323
USDRUBF;5;20250103;141000;104.18;104.26;104.1;104.23;564
USDRUBF;5;20250103;141500;104.24;104.34;104.2;104.2;844
USDRUBF;5;20250103;142000;104.21;104.26;104.2;104.23;474
USDRUBF;5;20250103;142500;104.2;104.24;104.12;104.13;420
USDRUBF;5;20250103;143000;104.13;104.15;104.1;104.1;335
USDRUBF;5;20250103;143500;104.11;104.17;104.1;104.17;107
USDRUBF;5;20250103;144000;104.15;104.19;104.1;104.1;44
USDRUBF;5;20250103;144500;104.12;104.12;104.07;104.11;331
USDRUBF;5;20250103;145000;104.07;104.12;104.07;104.07;74
USDRUBF;5;20250103;145500;104.07;104.13;104.07;104.1;207
USDRUBF;5;20250103;150000;104.09;104.09;104.05;104.07;11
USDRUBF;5;20250103;150500;104.04;104.04;104;104;104
USDRUBF;5;20250103;151000;104;104.1;103.97;104.04;167
USDRUBF;5;20250103;151500;104.08;104.11;103.97;103.97;144
USDRUBF;5;20250103;152000;103.97;103.97;103.83;103.85;307
USDRUBF;5;20250103;152500;103.84;104;103.8;103.97;233
USDRUBF;5;20250103;153000;103.99;104.09;103.98;104.02;287
USDRUBF;5;20250103;153500;104;104.1;103.92;104.04;378
USDRUBF;5;20250103;154000;104.03;104.05;103.92;103.92;97
USDRUBF;5;20250103;154500;103.92;103.96;103.9;103.94;82
USDRUBF;5;20250103;155000;103.95;104.09;103.95;104.08;99
USDRUBF;5;20250103;155500;104.08;104.12;104.01;104.01;383
USDRUBF;5;20250103;160000;104.03;104.07;104.03;104.03;107
USDRUBF;5;20250103;160500;104.01;104.03;103.98;104.03;127
USDRUBF;5;20250103;161000;104.04;104.04;103.94;103.96;81
USDRUBF;5;20250103;161500;103.95;103.95;103.85;103.89;134
USDRUBF;5;20250103;162000;103.85;103.92;103.83;103.92;85
USDRUBF;5;20250103;162500;103.93;103.96;103.89;103.89;92
USDRUBF;5;20250103;163000;103.92;103.92;103.87;103.87;99
USDRUBF;5;20250103;163500;103.85;103.9;103.83;103.9;100
USDRUBF;5;20250103;164000;103.86;103.86;103.81;103.81;64
