Datetime;Open;High;Low;Close;Volume
2022-04-26 10:00:00;75.97;75.97;72.07;73.22;314
2022-04-26 11:00:00;73.29;73.3;72.8;72.8;341
2022-04-26 12:00:00;72.8;73.05;72.57;72.83;501
2022-04-26 13:00:00;72.85;73.09;72.53;72.61;258
2022-04-26 14:00:00;72.56;72.97;72.31;72.87;882
2022-04-26 15:00:00;72.86;73.29;72.6;73.23;641
2022-04-26 16:00:00;73.25;73.29;72.65;72.72;697
2022-04-26 17:00:00;72.71;73.28;72.71;73.19;1188
2022-04-26 18:00:00;73.21;73.42;73.06;73.17;885
2022-04-27 10:00:00;73.2;73.79;73.0;73.49;970
2022-04-27 11:00:00;73.44;73.51;72.94;73.01;722
2022-04-27 12:00:00;72.94;73.3;72.94;73.15;429
2022-04-27 13:00:00;73.21;73.3;72.94;73.14;875
2022-04-27 14:00:00;73.22;73.29;73.08;73.12;299
2022-04-27 15:00:00;73.12;73.3;73.12;73.27;179
2022-04-27 16:00:00;73.27;73.6;73.27;73.43;374
2022-04-27 17:00:00;73.43;73.6;73.38;73.53;298
2022-04-27 18:00:00;73.6;73.6;73.32;73.55;214
2022-04-28 10:00:00;73.26;73.47;72.7;73.18;1299
2022-04-28 11:00:00;73.16;73.2;73.05;73.06;924
2022-04-28 12:00:00;73.06;73.18;73.02;73.13;415
2022-04-28 13:00:00;73.09;73.3;73.0;73.3;480
2022-04-28 14:00:00;73.3;73.48;73.26;73.34;330
2022-04-28 15:00:00;73.34;73.44;73.05;73.35;428
2022-04-28 16:00:00;73.35;73.37;73.18;73.27;269
2022-04-28 17:00:00;73.28;73.43;73.14;73.26;352
2022-04-28 18:00:00;73.26;73.29;73.08;73.16;313
2022-04-29 10:00:00;73.07;73.39;72.9;73.04;881
2022-04-29 11:00:00;73.04;73.09;72.2;72.42;2641
2022-04-29 12:00:00;72.32;72.98;72.1;72.89;1202
2022-04-29 13:00:00;72.93;73.0;72.2;72.55;828
2022-04-29 14:00:00;72.65;72.65;72.0;72.28;809
2022-04-29 15:00:00;72.29;72.9;72.2;72.72;606
2022-04-29 16:00:00;72.69;72.97;72.5;72.54;301
2022-04-29 17:00:00;72.66;72.66;72.18;72.47;479
2022-04-29 18:00:00;72.44;72.65;72.41;72.5;289
2022-05-04 10:00:00;71.87;72.88;70.27;72.0;1735
