Datetime;Open;High;Low;Close;Volume
2022-04-26 10:00:00;75.97;75.97;72.07;73.2;214
2022-04-26 10:30:00;73.2;73.45;73.04;73.22;100
2022-04-26 11:00:00;73.29;73.3;72.98;72.98;136
2022-04-26 11:30:00;73.0;73.06;72.8;72.8;205
2022-04-26 12:00:00;72.8;72.84;72.61;72.63;243
2022-04-26 12:30:00;72.63;73.05;72.57;72.83;258
2022-04-26 13:00:00;72.85;73.09;72.71;72.73;130
2022-04-26 13:30:00;72.7;72.8;72.53;72.61;128
2022-04-26 14:00:00;72.56;72.67;72.31;72.41;653
2022-04-26 14:30:00;72.42;72.97;72.42;72.87;229
2022-04-26 15:00:00;72.86;73.09;72.6;72.67;329
2022-04-26 15:30:00;72.75;73.29;72.75;73.23;312
2022-04-26 16:00:00;73.25;73.29;73.0;73.0;208
2022-04-26 16:30:00;73.01;73.02;72.65;72.72;489
2022-04-26 17:00:00;72.71;73.07;72.71;73.0;904
2022-04-26 17:30:00;72.99;73.28;72.99;73.19;284
2022-04-26 18:00:00;73.21;73.42;73.06;73.28;726
2022-04-26 18:30:00;73.2;73.37;73.1;73.17;159
2022-04-27 10:00:00;73.2;73.79;73.0;73.43;424
2022-04-27 10:30:00;73.41;73.61;73.0;73.49;546
2022-04-27 11:00:00;73.44;73.51;73.03;73.09;299
2022-04-27 11:30:00;73.08;73.19;72.94;73.01;423
2022-04-27 12:00:00;72.94;73.13;72.94;73.11;265
2022-04-27 12:30:00;73.15;73.3;73.08;73.15;164
2022-04-27 13:00:00;73.21;73.3;73.17;73.24;175
2022-04-27 13:30:00;73.21;73.23;72.94;73.14;700
2022-04-27 14:00:00;73.22;73.29;73.16;73.26;137
2022-04-27 14:30:00;73.25;73.29;73.08;73.12;162
2022-04-27 15:00:00;73.12;73.3;73.12;73.23;102
2022-04-27 15:30:00;73.25;73.3;73.24;73.27;77
2022-04-27 16:00:00;73.27;73.56;73.27;73.49;228
2022-04-27 16:30:00;73.41;73.6;73.34;73.43;146
2022-04-27 17:00:00;73.43;73.58;73.39;73.39;211
2022-04-27 17:30:00;73.39;73.6;73.38;73.53;87
2022-04-27 18:00:00;73.6;73.6;73.41;73.41;117
